time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
358.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
358.0,S,1,2,48.58,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
359.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
359.0,N,1,1,83.34,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
359.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
359.0,S,1,2,45.87,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
360.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
360.0,N,1,1,83.34,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
360.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
360.0,S,1,2,43.66,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
361.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
